iSession,iTrial,text,A,b,n_constraints,matched_rules,un_pro
1,1,头长度适中，脖子长度适中，腿短，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.25, -0.75, 0.25, -0.75, -0.5, -0.5]",6,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,2,头长，脖子适中，腿较短，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.25, -0.75, -0.5, -0.5]",5,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,3,头长度适中，脖子短，腿较短，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.25, -0.75, -0.5, -0.5, -0.5]",5,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,4,头短，脖子较长，腿长，尾巴较长。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, 0.5, 0.5, 0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,5,头长，脖子短，腿长，尾巴较长。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0.5, -0.5, 0.5, 0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,6,头长，脖子长，腿适中，尾巴较短。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.25, -0.75, -0.5]",5,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,7,头短，脖子较短，腿长，尾巴较短。,"[[0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,8,头长，脖子较短，腿短，尾巴较短，头、脖子、尾巴均比腿长。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, -1.0, 0.0], [0.0, 1.0, -1.0, 0.0], [0.0, 0.0, -1.0, 1.0]]","[0.5, -0.5, -0.5, -0.5, 0.0, 0.0, 0.0]",7,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,9,头短，脖子长，腿较短，尾巴短，脖子比腿长很多。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, -1.0, 0.0]]","[-0.5, 0.5, -0.5, -0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,10,头较长，脖子较短，腿长，尾巴较长，腿比脖子和头长很多。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 1.0, 0.0], [0.0, -1.0, 1.0, 0.0]]","[0.5, -0.5, 0.5, 0.5, 0.0, 0.0]",6,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,11,头短，脖子短，腿长，尾巴长，腿和尾巴比头和脖子长很多。,"[[0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 1.0, 0.0], [0.0, -1.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 1.0], [0.0, -1.0, 0.0, 1.0]]","[-0.5, -0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]",8,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,12,头长，脖子短，腿长，尾巴长，腿比脖子长很多。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, -0.5, 0.5, 0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,13,头长，脖子长，腿短，尾巴长，腿比脖子短很多。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [1.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, -0.5, 0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,14,头长，脖子长度适中，腿较长，尾巴较长，腿比脖子长。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, 0.25, -0.75, 0.5, 0.5, 0.0]",6,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,15,头短，脖子长度适中，腿长度适中，尾巴长度适中，脖子、腿和尾巴的长度差不多。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.25, -0.75, 0.25, -0.75, 0.25, -0.75]",7,"['general_case', 'general_case', 'general_case', 'general_case']",['脖子、腿和尾巴的长度差不多']
1,16,头长度适中，脖子短，腿长度适中，尾巴短，腿比脖子长。,"[[0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [-1.0, 0.0, 1.0, 0.0]]","[0.25, -0.75, -0.5, 0.25, -0.75, -0.5, 0.0]",7,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,17,头长度适中，脖子长，腿短，尾巴长度适中，脖子比腿长。,"[[0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, -1.0, 0.0]]","[0.25, -0.75, 0.5, -0.5, 0.25, -0.75, 0.0]",7,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,18,头长，脖子长，腿长，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,19,脖子长，腿长度适中，脖子比腿长。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[0.5, 0.25, -0.75, 0.0]",4,"['general_case', 'general_case', 'comparison']",[]
1,20,脖子比腿长。,"[[1.0, 0.0, -1.0, 0.0]]",[0.0],1,['comparison'],[]
1,21,脖子较短，腿长，腿比脖子长。,"[[-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 1.0, 0.0]]","[-0.5, 0.5, 0.0]",3,"['general_case', 'general_case', 'comparison']",[]
1,22,腿较短，脖子较长，脖子比腿长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[-0.5, 0.5, 0.0]",3,"['general_case', 'general_case', 'comparison']",[]
1,23,脖子较长，腿很长，腿比脖子更长。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, 0.5, 0.0]",3,"['general_case', 'general_case', 'comparison']",[]
1,24,脖子长，腿短，脖子比腿长很多。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[0.5, -0.5, 0.0]",3,"['general_case', 'general_case', 'comparison']",[]
1,25,脖子长度适中，腿较长，腿比脖子长。,"[[1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 1.0, 0.0]]","[0.25, -0.75, 0.5, 0.0]",4,"['general_case', 'general_case', 'comparison']",[]
1,26,腿和脖子差不多长，头部较长。,"[[0.0, 1.0, 0.0, 0.0]]",[0.5],1,['general_case'],['腿和脖子差不多长']
1,27,腿长，脖子短，腿比脖子长很多，头较长。,"[[0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 1.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, -0.5, 0.0, 0.5]",4,"['general_case', 'general_case', 'comparison', 'general_case']",[]
1,28,头、脖子、腿都比较长，尾巴较短，脖子和腿差不多长。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case']",['脖子和腿差不多长']
1,29,腿短，脖子长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0]]","[-0.5, 0.5]",2,"['general_case', 'general_case']",[]
