iSession,iTrial,text,A,b,n_constraints,matched_rules,un_pro
1,1,头长，脖子短，尾巴短，头在躯干以下、腿以上。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']",['头在躯干以下、腿以上']
1,2,左朝向，头在躯干以下、腿以上，脖子和尾巴一般。,[],[],0,[],"['左朝向', '头在躯干以下、腿以上', '脖子和尾巴一般']"
1,3,头长，脖子长，尾巴短，头在躯干和腿之间，右朝向。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']","['头在躯干和腿之间', '右朝向']"
1,4,头长，脖子一般，腿长，尾巴短，右朝向。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']","['脖子一般', '右朝向']"
1,5,头长，尾巴短，脖子长，头在躯干以上。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, 0.0, 0.0]]","[0.5, -0.5, 0.5]",3,"['general_case', 'general_case', 'general_case']",['头在躯干以上']
1,6,头长，尾巴短，脖子短，头在躯干以下。,"[[0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [-1.0, 0.0, 0.0, 0.0]]","[0.5, -0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']",['头在躯干以下']
1,7,头和脖子差不多长，尾巴短。,"[[0.0, 0.0, 0.0, -1.0]]",[-0.5],1,['general_case'],['头和脖子差不多长']
1,8,头和脖子一样长，尾巴也差不多长，头在躯干以下。,[],[],0,[],"['头和脖子一样长', '尾巴也差不多长', '头在躯干以下']"
1,9,头和脖子很长，尾巴很短，头在躯干以上。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, -0.5]",3,"['general_case', 'general_case']",['头在躯干以上']
1,10,头很长，脖子、尾巴很短，头在躯干以下。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, -0.5]",3,"['general_case', 'general_case']",['头在躯干以下']
1,11,头和脖子比尾巴长，头在躯干以下。,"[[1.0, 0.0, 0.0, -1.0], [0.0, 1.0, 0.0, -1.0]]","[0.0, 0.0]",2,['comparison'],['头在躯干以下']
1,12,脖子和尾巴一样长，头很短。,"[[0.0, -1.0, 0.0, 0.0]]",[-0.5],1,['general_case'],['脖子和尾巴一样长']
1,13,头比较短，脖子和尾巴一样长。,"[[0.0, -1.0, 0.0, 0.0]]",[-0.5],1,['general_case'],['脖子和尾巴一样长']
1,14,脖子长，头和尾巴一样长。,"[[1.0, 0.0, 0.0, 0.0]]",[0.5],1,['general_case'],['头和尾巴一样长']
1,15,脖子和尾巴一样长，头在躯干以下。,[],[],0,[],"['脖子和尾巴一样长', '头在躯干以下']"
1,16,脖子和头一样长，头在躯干以上。,[],[],0,[],"['脖子和头一样长', '头在躯干以上']"
1,17,头比脖子短，头比尾巴长，腿很长。,"[[1.0, -1.0, 0.0, 0.0], [0.0, 1.0, 0.0, -1.0], [0.0, 0.0, 1.0, 0.0]]","[0.0, 0.0, 0.5]",3,"['comparison', 'comparison', 'general_case']",[]
1,18,尾巴、头、脖子较短。,"[[-1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, -0.5]",3,['general_case'],[]
1,19,尾巴、脖子、头较短。,"[[-1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, -0.5]",3,['general_case'],[]
1,20,脖子、尾巴、头较短。,"[[-1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, -0.5]",3,['general_case'],[]
1,21,腿长，脖子最短，然后是头和尾巴。,"[[0.0, 0.0, 1.0, 0.0], [-1.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 1.0]]","[0.5, 0.0, 0.0, 0.0]",4,"['general_case', 'superlative']",['然后是头和尾巴']
1,22,腿最短，头最长，脖子和尾巴在中间。,"[[1.0, 0.0, -1.0, 0.0], [0.0, 1.0, -1.0, 0.0], [0.0, 0.0, -1.0, 1.0], [-1.0, 1.0, 0.0, 0.0], [0.0, 1.0, 0.0, -1.0]]","[0.0, 0.0, 0.0, 0.0, 0.0]",5,"['superlative', 'superlative']",['脖子和尾巴在中间']
1,23,腿比较长，头比脖子长，脖子比尾巴长。,"[[0.0, 0.0, 1.0, 0.0], [-1.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, -1.0]]","[0.5, 0.0, 0.0]",3,"['general_case', 'comparison', 'comparison']",[]
1,24,脖子比尾巴长，尾巴比头长。,"[[1.0, 0.0, 0.0, -1.0], [0.0, -1.0, 0.0, 1.0]]","[0.0, 0.0]",2,"['comparison', 'comparison']",[]
1,25,脖子长，腿、尾巴和头短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, -0.5, -0.5]",4,"['general_case', 'general_case']",[]
1,26,腿和尾巴、脖子一样长，头比较短。,"[[0.0, -1.0, 0.0, 0.0]]",[-0.5],1,['general_case'],['腿和尾巴、脖子一样长']
1,27,腿长，尾巴和腿一样长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],['尾巴和腿一样长']
1,28,尾巴比腿短，头比脖子短。,"[[0.0, 0.0, 1.0, -1.0], [1.0, -1.0, 0.0, 0.0]]","[0.0, 0.0]",2,"['comparison', 'comparison']",[]
