iSession,iTrial,text
1,1,一二三四格子都是白色，白色格子偏多，所以选择
1,2,前面猜测白色数多错误，那这次猜测黑色格子数多，所以选的 F。
1,3,黑，第三个格子是黑色，左右两个是白色，是一种对称图形。做作为一次尝试。
1,4,嗯。因为上一个相似图形是 F，所以这次想尝试一下做 G。
1,5,上一轮第四个格子是黑色，其他是白色。选 G 是错了，但这次第四个格子仍然是黑色，所以嗯，我猜测第四个盒子，格子是黑色，可能是作为一条判断依据，所以选择 G。
1,6,我猜测可能是白色格子数量要多于黑色格子，作为调喷的依据。这个不符合，所以选 G。
1,7,白色，第一个格子是白色的。嗯，在前几轮都有这个规律，所以想尝试一下 SHF。
1,8,可能适合嗯，百色是减黑色这个格子之间的数量差有关系。啊，所以本轮作为测试选 G。
1,9,嗯本轮第三个格子是黑色，且一和五都是黑色，有点像那种对称图形。上一轮有相似的图形出现的时候，我选的是 F。 哦，错了。所以这次选这。
1,10,目前猜测的是呃，135，呃，某一个黑色格子不应该是黑色，所以可能作为一个试验。我猜测哦嗯，就是可能，嗯，这个格子应该是白色，所以它是一个评判标准。
1,11,嗯，这个1245是黑色格子。它也是一个中间是对称的一个图形，所以呃上一轮有做对过一次，所以我猜测这个也是错的。
1,12,我觉得应该是和一和五格子的颜色相关。嗯，前两次因为一和五，呃，它的都是黑色的，但是二三四的格子颜色都有变换，但都是错误的。所以我觉得有可能和一和五的颜色不能是白，不能是黑色有关系。啊，但是这次是一个字是白，五是黑。啊，所以是有可能是这样。
1,13,1和5白色，一黑一白。我目前猜测是1和5的格子都是白色才能是 f。
1,14,呃，一和五格子都是白色的，且，嗯，所以猜测是白色。
1,15,嗯，曾经出现过完全互补的图形，次，然后是，哎，当时选 G 是对了。所以这次我选 f。
1,16,目前我猜测呃一，第一个格子是黑色，第二个格子，呃，第五格子是白色，应该作为一定标准。嗯，二三四没有确定。
1,17,第一个格子是白色，第五个格子是黑色。呃，不太符合我之前的猜测。
1,18,嗯，第一个格子是白色，第二个格子是黑色。嗯，我觉得可能和第二个字有关，因为前一个推论不太成立。你这次在做一些尝试。
1,19,嗯，我还是呃认为和一三五格子的颜色相关。
1,20,第一个格子和第二个颜子颜色呃，是相同的。嗯，我觉得这个不太符合标准。
1,21,嗯嗯呃，我觉得在猜测一下是因为和数量有关系。
1,22,我目前猜测是跟数量以及颜色相近的不能挨超过三个，所以是有这样的猜测。
1,23,呃，曾经出过一个相，完全互补的图案。嗯，做过相似的判断，所以反其道而行之。
1,24,嗯，目前猜测是得有相同颜色两个在一起挨近，以及每个数量。是2和3的关系，所以猜测是对的。
1,25,嗯，个人认为应该还是和呃二三格子的颜色相关。
1,26,上一轮这个图像是完全对称的，所以选错了，这次尝试下正确。
1,27,呃，这次第二个格子第三个格子都是白色。
1,28,呃，他是不是根据，就是以连续格子的多少相关，因为前面有一些猜测，包括呃一和五的颜色，包括它的数量，白黑格子的数量多少。还有他这个二三的连续，这几个猜测其实都后面都错了，所以重新猜测。
1,29,嗯，同，道理同样，我觉得不应该都是黑色，统一颜色的。
1,30,嗯，这次是作为，就是它并没有连续的三个相似的颜色连在一起。
1,31,呃，这次一二三格是黑色，四五是，所以它有连色的情况。
1,32,啊，我觉得有可能是三黑两白。
1,33,嗯，同样的猜测，应该是三黑两白，上一轮是正确的，这次再验证一下。
1,34,嗯呃，还是和呃黑色的颜色，黑色格子的数量。呃，以及它的位置，嗯，相关。就是有可能是必须在某个格子是黑色。
1,35,啊，之前出现过这个相似的图形。应该是 f
1,36,呃，我觉得还是和我这个三，就是整体黑，黑色的数量和第三个格子颜色相关。
1,37,嗯，同理是和黑色的颜色，个，黑色格子的个数和它的，啊，就是第三个格子的颜色。嗯，应该是黑色哦。
1,38,呃，还是，呃，因为之前也推翻了很多的猜测吧，呃，第一个格子的颜色。我觉得和第三个格子中颜色，我觉得它是有关系的。
1,39,嗯，这次他
1,40,现在呃目前觉得是俩白俩黑，然后加一个颜色这样空开。呃，我也不确定。
1,41,呃，还是符合它的数量、格子数量以及颜色猜测的。
1,42,那我觉得它是比较符合呃正确的一个格模式的格子的排列规律。嗯，我觉得现在不拘泥于每某个颜色。某个格子一定是哪个颜色了，而是和它的组合数相关吧。
1,43,嗯，之前黑白黑黑白是对的，然后这个黑白黑白，黑白白黑白，我觉得有可能是对的。
1,44,嗯，曾经出现过三次是错的，所以我同样选。
1,45,我觉得和格子它的分布的不规律性有关系吧，应该是。啊，存在这种黑白黑黑白白黑黑黑黑白这种，嗯，两个相似且有间隔的。
1,46,我觉得现在可能就是属于它的排布规律问题。
1,47,觉得可能，嗯，还是跟经验吧，因为记住过有这个事情。
1,48,呃，相似的图形出现过一次，像呃第一个格子是黑，第二个格子是白这种。以及四，三四是黑，这白，这个是对的，我觉得这个也有可能是对的。
1,49,呃，记忆中应该是出现过相似的一个图案。
1,50,啊，我觉得还是和
1,51,嗯，我觉得呃白黑黑白就是第一个格子，第二个格子是相似颜色，呃，一二三格子相似颜色，这种情况应该是不太正确的。
1,52,呃，还是呃感觉它的两排，三二三格子，三四，呃，四五格子颜色，嗯。有可能是吧。
1,53,
1,54,我觉得，嗯，根据，就是上一轮的一个猜测，所以有可能是对的，就是它的格子的一二三四啊，还有或者是132345个颜色。
1,55,嗯，这个不太确定，因为它不太符合我之前的猜想。
1,56,哦这个因为它的颜色，三四五二三四五是相似的，我觉得不太对。
1,57,啊，我觉得啧嗯，二三三四这种情况出现过，应该是对的。
1,58,和上一轮的情况相似。
1,59,曾经出现过类似的，我觉得可能存在一些问题，不符合标准。
1,60,哦呃，12还是它的颜色是对的。
1,61,嗯，我觉得
1,62,不太，不应该是5个全黑。
1,63,我觉得呃我记得是有类似情况出现过，所以一二三是白，四是黑，五是把这个不太符合标准。
1,64,
1,65,嗯，呃，我觉得二三四连射的情况不是不正确。
1,66,相同情况出现过。
1,67,虽然说没总结出特别好的规律吧，但是感觉它是对的。
1,68,呃，这个确实是做过，但是跟它的颜色，有那种对称是错的。
1,69,啊，还是白黑，呃，二三四五不应该是相似颜色。
1,70,嗯，这是属于呃一二是对的，我觉得是，对。呃，有有印象，做过类似的。
1,71,嗯，这个不是很确定，因为它不符合任何的一条规则。但是呢它呃有记忆中是出现过的。
1,72,嗯，因为二三的颜色是黑色，哎呀，它还和这种，就是嗯这是分布吧，我感觉就是现在呈现出就是不规则的规律，和那种绝对的二三三二的是正确的。有三个白色，两个黑色，或两个白色，三个黑色，这种连续的出现有可能是正确的。
1,73,四个同时出现的可能，该，呃，不对。
1,74,嗯，对称出现的情况也不对。
1,75,呃，前两轮它是一个出现过。
1,76,我觉得现在就是一个对称性，有一二三四这个格子的对称性。
1,77,嗯，总没有完全那个互补的情况出现。
1,78,嗯，不太确定这次的情况，但我觉得它还是有点对称的，就是二三四不能是相似颜色。
1,79,啊，我觉得二三四还是不相似，就是。
1,80,不是很确定，但是嗯这种排布就是嗯三四五的排布应该是对的吧。
