mode,iSub,iSession,iTrial,text,un_pro,un_pro_items,un_pro_count,unprocessed_category,n_constraints,matched_rules,A,b,fidelity,fidelity_status,style_tags
region,102,1,78,腿长，尾巴适中，脖子略微长于头。,['脖子略微长于头'],脖子略微长于头,1,other_unparsed,3,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, -0.25, 0.75]",1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,79,腿长，尾巴长，脖子略微长于头。,['脖子略微长于头'],脖子略微长于头,1,other_unparsed,2,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,84,脖子略微短于头，腿适中，尾巴适中。,['脖子略微短于头'],脖子略微短于头,1,other_unparsed,4,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0]]","[-0.25, 0.75, -0.25, 0.75]",1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,91,脖子短于头，腿和尾巴都比它们短。,['腿和尾巴都比它们短'],腿和尾巴都比它们短,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,109,脖子微短于头，腿适中，尾巴短。,['脖子微短于头'],脖子微短于头,1,other_unparsed,3,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[-0.25, 0.75, 0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,138,脖子比头短，腿和尾巴差不多，都适中。,['都适中'],都适中,1,other_unparsed,3,"['comparison', 'equality']","[[1.0, -1.0, 0.0, 0.0], [0.0, 0.0, 1.0, -1.0], [0.0, 0.0, -1.0, 1.0]]","[-0.0, 0.1, 0.1]",1.0,ok,"['direct_absolute', 'comparison', 'equality']"
region,102,1,149,脖子比头长，但是是最短的两个。,['但是是最短的两个'],但是是最短的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,150,脖子比头长，但是是最短的两个。,['但是是最短的两个'],但是是最短的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,157,脖子比头长，不确定是不是最短的两个。,['不确定是不是最短的两个'],不确定是不是最短的两个,1,meta_or_uncertain,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['meta', 'direct_absolute', 'superlative', 'comparison', 'negation']"
region,102,1,160,脖子比头长，但是是最短的两个。,['但是是最短的两个'],但是是最短的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,172,脖子比头长，但是是最短的两个。,['但是是最短的两个'],但是是最短的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
